grounds,difficulty,category,question,optionA,optionB,optionC,optionD,correctAnswer
Dm,Easy,"Theoritical, Introduction to Programming Paradigm",Which category of programming language is interpreted directly in hardware?,High-Level Languages ,Assembly Languages ,Scripting Languages ,Machine Languages,D
Dm,Easy,"Theoritical, Introduction to Programming Paradigm",High-level languages are defined as anything that is: ,Text-based,Machine-independent,Non-text based,Von Neumann,B
Dm,Easy,"Theoritical, Introduction to Programming Paradigm","What kind of languages are designed for writing low-level tasks, like memory and process management?",Scripting languages ,Esoteric languages,System languages,Visual languages,C
Dm,Easy,"Theoritical, Introduction to Programming Paradigm","Programming by specifying the result you want, not how to get it, is characteristic of which paradigm?",Procedural,Declarative,Imperative,Structured,B
Dm,Easy,"Theoritical, Introduction to Programming Paradigm",What kind of programming involves an explicit sequence of commands that update state?,"Declarative
",Functional,Imperative,Structured,C
Dm,Average,"Theoritical, Introduction to Programming Paradigm",Perl is an example of a language that belongs to which two categories?,System and Esoteric,High-level and Scripting,Visual and Domain-specific,Machine and Interpreted,B
Dm,Average,"Theoritical, Introduction to Programming Paradigm",What is the difference in control flow between Imperative programming and Declarative programming?,Imperative flow is explicit and Declarative flow is implicit.,Imperative uses function calls and Declarative uses state updates,Imperative uses structured control and Declarative uses gotos; ,Imperative focuses on results and Declarative focuses on steps,A
Dm,Average,"Theoritical, Introduction to Programming Paradigm","After the development of Simula-67, which programming language was considered the first pure object-oriented language?",C++,Java,Smalltalk,CLOS,C
Dm,Difficult,"Theoritical, Introduction to Programming Paradigm","Allan Kay said some languages are made by agglutination of features, and others show crystallization of style. Which language belongs to the crystallization of the style group?",COBOL,PL/1,Ada,LISP,D
Dm,Difficult,"Theoritical, Introduction to Programming Paradigm",There are two kinds of languages: the ones people complain about and the ones nobody uses. Who said this?,Bjarnne Stoustroup,Bjarne Stroustroup,Bjarne Stroustrup,Bjarnne Stroustrup,C
Dm,Easy,"Theoritical, Procedural Programming",The idea of procedural programming was born around what time period?,1988,1958,1972,2005,B
Dm,Easy,"Theoritical, Procedural Programming",Which early procedural language was typically implemented with an interpreter because it was intended for novice programmers?,FORTRAN,BASIC,COBOL,ALGOL 60,B
Dm,Easy,"Theoritical, Procedural Programming",The C language was developed in 1972 by Ken Thompson and Dennis Ritchie at what location?,MIT,Harvard University,Bell Laboratories,Microsoft,C
Dm,Easy,"Theoritical, Procedural Programming",Procedural language instructions are expressed in what form to make the program portable?,Compiler-dependent,Operating system specific,Machine-independent,Binary code,C
Dm,Easy,"Theoritical, Procedural Programming",Modularity is defined as the degree to which a system's components can be separated and what? ,Optimized ,Recombined,Inherited,Declared,B
Dm,Average,"Theoritical, Procedural Programming",Which C basic variable type is defined as representing the absence of type?,int,char,float,void,D
Dm,Average,"Theoritical, Procedural Programming",Variables with static storage duration are implicitly initialized to what value if no explicit value is given? ,1,An undefined value,NULL,Their maximum range value,C
Dm,Average,"Theoritical, Procedural Programming","In C, variables defined outside of all functions are known as what type of variables?",Local variables,Global variables,Pointer variables,Formal parameters,B
Dm,Difficult,"Theoritical, Procedural Programming",What keyword is used in C to declare a variable that is defined in one file so that it is visible and can be linked in multiple files?,static,void,extern,register,C
Dm,Difficult,"Theoritical, Procedural Programming",Which operator is used to access a variable's memory address for use in pointer variables? ,Asterisk (*),Colon (:),Ampersand (&),Hash (#),C
Dm,Easy,"Theoritical, Functional Programming",Which programming paradigm is functional programming classified as?,Imperative,Procedural,Object-Oriented,Declarative,D
Dm,Easy,"Theoritical, Functional Programming",What is the historical root of functional programming?,Turing machines,Set theory,Lambda calculus,Boolean algebra,C
